"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"51",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.9,1,900,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"52",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.917,1,917,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"53",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","n",0.817,0,817,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"54",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",1.084,1,1084,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"55",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.833,1,833,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"56",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","n",0.817,0,817,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"57",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.9,1,900,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"58",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.9,1,900,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"59",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.934,1,934,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"60",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",1.05,1,1050,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"61",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","n",0.883,0,883,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"62",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.867,1,867,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
